City,State,2010 Actual,2020 Estimate,2016 Land Area (sq mi),Population Change,Population Density 2010,Population Density 2020
New York City[d] , New York ,8175133.0,8253213.0,301.5,0.9550914951475408,27114.868988391376,27373.8407960199
Los Angeles , California ,3792621.0,3970219.0,468.7,4.682724690919551,8091.787924045232,8470.704075101345
Chicago , Illinois ,2695598.0,2677643.0,227.3,-0.6660859668244301,11859.208095028596,11780.215574131103
Houston[3] , Texas ,2100263.0,2316120.0,637.5,10.277617612651369,3294.5301960784313,3633.1294117647058
Philadelphia[e] , Pennsylvania ,1526006.0,1578487.0,134.2,3.4391083652357852,11371.13263785395,11762.198211624442
Phoenix , Arizona ,1445632.0,1708127.0,517.6,18.157802262263147,2792.9520865533227,3300.090803709428
San Antonio , Texas ,1327407.0,1567118.0,461.0,18.058590922000562,2879.407809110629,3399.3882863340564
San Diego , California ,1307402.0,1422420.0,325.2,8.79744715091456,4020.3013530135304,4373.985239852399
Dallas , Texas ,1197816.0,1343266.0,340.9,12.142933472252833,3513.6872983279554,3940.3520093869174
San Jose , California ,945942.0,1013616.0,177.5,7.154138414405957,5329.250704225352,5710.512676056338
Jacksonville[f] , Florida ,821784.0,920570.0,747.4,12.02092033916455,1099.5236820979396,1231.6965480331817
Indianapolis[g] , Indiana ,820445.0,877903.0,361.5,7.0032726142520225,2269.5573997233746,2428.5006915629324
San Francisco[h] , California ,805235.0,866606.0,46.9,7.621501797611878,17169.18976545842,18477.739872068232
Austin , Texas ,790390.0,995484.0,312.7,25.948455825605084,2527.6303165973777,3183.51135273425
Columbus , Ohio ,787033.0,903852.0,218.5,14.842960841540318,3601.9816933638444,4136.622425629291
Fort Worth , Texas ,741206.0,927720.0,342.9,25.163584752417005,2161.580635753864,2705.511811023622
Charlotte , North Carolina ,731424.0,900350.0,305.4,23.095495909349435,2394.9705304518666,2948.1008513425018
Detroit , Michigan ,713777.0,665369.0,138.8,-6.781950104864684,5142.4855907780975,4793.724783861671
El Paso , Texas ,649121.0,681534.0,256.8,4.993367954510792,2527.729750778816,2653.948598130841
