City,State,2010 Actual,2020 Estimate,2016 Land Area (sq mi),Population Change,Population Density 2010,Population Density 2020
New York City, New York ,8175133.0,8253213.0,301.5,0.9550914951475408,27114.868988391376,27373.8407960199
Los Angeles, California ,3792621.0,3970219.0,468.7,4.682724690919551,8091.787924045232,8470.704075101345
Chicago, Illinois ,2695598.0,2677643.0,227.3,-0.6660859668244301,11859.208095028596,11780.215574131103
Houston, Texas ,2100263.0,2316120.0,637.5,10.277617612651367,3294.530196078432,3633.1294117647058
Philadelphia, Pennsylvania ,1526006.0,1578487.0,134.2,3.439108365235785,11371.13263785395,11762.198211624442
Phoenix, Arizona ,1445632.0,1708127.0,517.6,18.157802262263147,2792.9520865533227,3300.090803709428
San Antonio, Texas ,1327407.0,1567118.0,461.0,18.05859092200056,2879.407809110629,3399.3882863340564
San Diego, California ,1307402.0,1422420.0,325.2,8.79744715091456,4020.3013530135295,4373.985239852399
Dallas, Texas ,1197816.0,1343266.0,340.9,12.142933472252832,3513.6872983279554,3940.352009386917
San Jose, California ,945942.0,1013616.0,177.5,7.154138414405957,5329.250704225352,5710.512676056338
