City,State,2016 Land Area (sq mi)
Birmingham , Alabama ,146.1 sq mi 
Huntsville , Alabama ,213.4 sq mi 
Mobile , Alabama ,139.4 sq mi 
Montgomery , Alabama ,159.8 sq mi 
Tuscaloosa , Alabama ,71.7 sq mi 
Anchorage[p] , Alaska ,"1,706.6 sq mi "
Chandler , Arizona ,64.9 sq mi 
Gilbert[q] , Arizona ,68.0 sq mi 
Glendale , Arizona ,59.1 sq mi 
Mesa , Arizona ,137.9 sq mi 
Peoria , Arizona ,175.7 sq mi 
Phoenix , Arizona ,517.6 sq mi 
Scottsdale , Arizona ,183.9 sq mi 
Surprise , Arizona ,107.9 sq mi 
Tempe , Arizona ,40.0 sq mi 
Tucson , Arizona ,230.8 sq mi 
Little Rock , Arkansas ,118.7 sq mi 
Anaheim , California ,50.0 sq mi 
Antioch , California ,29.4 sq mi 
Bakersfield , California ,148.8 sq mi 
Berkeley , California ,10.5 sq mi 
Burbank , California ,17.4 sq mi 
Carlsbad , California ,37.7 sq mi 
Chico , California ,33.3 sq mi 
Chula Vista , California ,49.6 sq mi 
Clovis , California ,24.2 sq mi 
Concord , California ,30.5 sq mi 
Corona , California ,39.5 sq mi 
Costa Mesa , California ,15.7 sq mi 
Daly City , California ,7.6 sq mi 
Downey , California ,12.4 sq mi 
El Cajon , California ,14.5 sq mi 
El Monte , California ,9.6 sq mi 
Elk Grove , California ,42.2 sq mi 
Escondido , California ,37.1 sq mi 
Fairfield , California ,40.9 sq mi 
Fontana , California ,43.0 sq mi 
Fremont , California ,77.5 sq mi 
Fresno , California ,114.4 sq mi 
Fullerton , California ,22.4 sq mi 
Garden Grove , California ,18.0 sq mi 
Glendale , California ,30.4 sq mi 
Hayward , California ,45.5 sq mi 
Huntington Beach , California ,26.9 sq mi 
Inglewood , California ,9.1 sq mi 
Irvine , California ,65.6 sq mi 
Jurupa Valley , California ,42.9 sq mi 
Lancaster , California ,94.3 sq mi 
Long Beach , California ,50.3 sq mi 
Los Angeles , California ,468.7 sq mi 
Modesto , California ,43.0 sq mi 
Moreno Valley , California ,51.3 sq mi 
Murrieta , California ,33.6 sq mi 
Norwalk , California ,9.7 sq mi 
Oakland , California ,55.9 sq mi 
Oceanside , California ,41.3 sq mi 
Ontario , California ,49.9 sq mi 
Orange , California ,25.4 sq mi 
Oxnard , California ,26.9 sq mi 
Palmdale , California ,106.0 sq mi 
Pasadena , California ,23.0 sq mi 
Pomona , California ,23.0 sq mi 
Rancho Cucamonga , California ,40.0 sq mi 
Rialto , California ,22.3 sq mi 
Richmond , California ,30.1 sq mi 
Riverside , California ,81.2 sq mi 
Roseville , California ,43.0 sq mi 
Sacramento , California ,97.9 sq mi 
Salinas , California ,23.6 sq mi 
San Bernardino , California ,61.5 sq mi 
San Diego , California ,325.2 sq mi 
San Francisco[h] , California ,46.9 sq mi 
San Jose , California ,177.5 sq mi 
San Mateo , California ,12.1 sq mi 
Santa Ana , California ,27.1 sq mi 
Santa Clara , California ,18.4 sq mi 
Santa Clarita , California ,52.8 sq mi 
Santa Maria , California ,22.8 sq mi 
Santa Rosa , California ,41.3 sq mi 
Simi Valley , California ,41.5 sq mi 
Stockton , California ,61.7 sq mi 
Sunnyvale , California ,22.0 sq mi 
Temecula , California ,37.3 sq mi 
Thousand Oaks , California ,55.2 sq mi 
Torrance , California ,20.5 sq mi 
Vacaville , California ,29.0 sq mi 
Vallejo , California ,30.7 sq mi 
Ventura[ab] , California ,21.8 sq mi 
Victorville , California ,73.3 sq mi 
Visalia , California ,37.5 sq mi 
Vista , California ,18.7 sq mi 
West Covina , California ,16.0 sq mi 
Arvada , Colorado ,38.6 sq mi 
Aurora , Colorado ,153.5 sq mi 
Boulder , Colorado ,24.8 sq mi 
Centennial , Colorado ,29.5 sq mi 
Colorado Springs , Colorado ,195.6 sq mi 
Denver[i] , Colorado ,153.3 sq mi 
Fort Collins , Colorado ,55.8 sq mi 
Greeley , Colorado ,47.8 sq mi 
Lakewood , Colorado ,42.9 sq mi 
Pueblo , Colorado ,53.6 sq mi 
Thornton , Colorado ,35.7 sq mi 
Westminster , Colorado ,31.7 sq mi 
Bridgeport , Connecticut ,16.1 sq mi 
Hartford , Connecticut ,17.4 sq mi 
New Haven , Connecticut ,18.7 sq mi 
Stamford , Connecticut ,37.6 sq mi 
Waterbury , Connecticut ,28.5 sq mi 
Washington[j] , District of Columbia ,61.1 sq mi 
Cape Coral , Florida ,105.6 sq mi 
Clearwater , Florida ,25.9 sq mi 
Coral Springs , Florida ,23.8 sq mi 
Davie[ac] , Florida ,34.9 sq mi 
Fort Lauderdale , Florida ,34.6 sq mi 
Gainesville , Florida ,62.3 sq mi 
Hialeah , Florida ,21.5 sq mi 
Hollywood , Florida ,27.3 sq mi 
Jacksonville[f] , Florida ,747.4 sq mi 
Lakeland , Florida ,65.9 sq mi 
Miami , Florida ,36.0 sq mi 
Miami Gardens , Florida ,18.2 sq mi 
Miramar , Florida ,29.4 sq mi 
Orlando , Florida ,105.2 sq mi 
Palm Bay , Florida ,65.7 sq mi 
Pembroke Pines , Florida ,33.0 sq mi 
Pompano Beach , Florida ,24.0 sq mi 
Port St. Lucie , Florida ,118.9 sq mi 
St. Petersburg , Florida ,61.8 sq mi 
Tallahassee , Florida ,100.4 sq mi 
Tampa , Florida ,113.4 sq mi 
West Palm Beach , Florida ,55.1 sq mi 
Athens[z] , Georgia ,116.4 sq mi 
Atlanta , Georgia ,133.5 sq mi 
Augusta[t] , Georgia ,302.5 sq mi 
Columbus[u] , Georgia ,216.4 sq mi 
Macon[w] , Georgia ,249.3 sq mi 
Sandy Springs , Georgia ,37.7 sq mi 
Savannah , Georgia ,103.6 sq mi 
South Fulton , Georgia ,84.8 sq mi 
Honolulu[b] , Hawaii ,60.5 sq mi 
Boise[r] , Idaho ,82.1 sq mi 
Meridian , Idaho ,29.8 sq mi 
Nampa , Idaho ,33.0 sq mi 
Aurora , Illinois ,44.9 sq mi 
Chicago , Illinois ,227.3 sq mi 
Elgin , Illinois ,37.4 sq mi 
Joliet , Illinois ,64.4 sq mi 
Naperville , Illinois ,38.7 sq mi 
Peoria , Illinois ,48.2 sq mi 
Rockford , Illinois ,63.5 sq mi 
Springfield , Illinois ,60.1 sq mi 
Carmel , Indiana ,47.5 sq mi 
Evansville , Indiana ,47.3 sq mi 
Fort Wayne , Indiana ,110.6 sq mi 
Indianapolis[g] , Indiana ,361.5 sq mi 
South Bend , Indiana ,41.4 sq mi 
Cedar Rapids , Iowa ,70.8 sq mi 
Davenport , Iowa ,62.9 sq mi 
Des Moines , Iowa ,88.9 sq mi 
Kansas City[x] , Kansas ,124.8 sq mi 
Olathe , Kansas ,60.9 sq mi 
Overland Park , Kansas ,75.1 sq mi 
Topeka , Kansas ,61.5 sq mi 
Wichita , Kansas ,160.4 sq mi 
Lexington[o] , Kentucky ,283.6 sq mi 
Louisville[l] , Kentucky ,263.5 sq mi 
Baton Rouge[s] , Louisiana ,85.9 sq mi 
Lafayette[y] , Louisiana ,53.8 sq mi 
New Orleans[n] , Louisiana ,169.4 sq mi 
Shreveport , Louisiana ,107.1 sq mi 
Baltimore[m] , Maryland ,80.9 sq mi 
Boston , Massachusetts ,48.3 sq mi 
Cambridge , Massachusetts ,6.4 sq mi 
Lowell , Massachusetts ,13.6 sq mi 
Springfield , Massachusetts ,31.9 sq mi 
Worcester , Massachusetts ,37.4 sq mi 
Ann Arbor , Michigan ,28.1 sq mi 
Detroit , Michigan ,138.8 sq mi 
Grand Rapids , Michigan ,44.4 sq mi 
Lansing , Michigan ,39.1 sq mi 
Sterling Heights , Michigan ,36.5 sq mi 
Warren , Michigan ,34.4 sq mi 
Minneapolis , Minnesota ,54.0 sq mi 
Rochester , Minnesota ,54.6 sq mi 
Saint Paul , Minnesota ,52.0 sq mi 
Jackson , Mississippi ,111.0 sq mi 
Columbia , Missouri ,65.0 sq mi 
Independence , Missouri ,77.8 sq mi 
Kansas City , Missouri ,315.0 sq mi 
Lee's Summit , Missouri ,63.8 sq mi 
Springfield , Missouri ,82.3 sq mi 
St. Louis[m] , Missouri ,62.0 sq mi 
Billings , Montana ,43.7 sq mi 
Lincoln , Nebraska ,92.1 sq mi 
Omaha , Nebraska ,133.2 sq mi 
Henderson , Nevada ,104.7 sq mi 
Las Vegas , Nevada ,134.4 sq mi 
North Las Vegas , Nevada ,98.0 sq mi 
Reno , Nevada ,107.3 sq mi 
Sparks , Nevada ,35.9 sq mi 
Manchester , New Hampshire ,33.1 sq mi 
Elizabeth , New Jersey ,12.3 sq mi 
Jersey City , New Jersey ,14.8 sq mi 
Newark , New Jersey ,24.1 sq mi 
Paterson , New Jersey ,8.4 sq mi 
Albuquerque , New Mexico ,188.2 sq mi 
Las Cruces , New Mexico ,76.9 sq mi 
Buffalo , New York ,40.4 sq mi 
New York City[d] , New York ,301.5 sq mi 
Rochester , New York ,35.8 sq mi 
Syracuse , New York ,25.0 sq mi 
Yonkers , New York ,18.0 sq mi 
Cary[v] , North Carolina ,56.5 sq mi 
Charlotte , North Carolina ,305.4 sq mi 
Durham , North Carolina ,109.8 sq mi 
Fayetteville , North Carolina ,147.7 sq mi 
Greensboro , North Carolina ,128.3 sq mi 
High Point , North Carolina ,55.2 sq mi 
Raleigh , North Carolina ,145.1 sq mi 
Wilmington , North Carolina ,51.6 sq mi 
Winston–Salem , North Carolina ,132.5 sq mi 
Fargo , North Dakota ,49.3 sq mi 
Akron , Ohio ,62.0 sq mi 
Cincinnati , Ohio ,77.4 sq mi 
Cleveland , Ohio ,77.7 sq mi 
Columbus , Ohio ,218.5 sq mi 
Dayton , Ohio ,55.7 sq mi 
Toledo , Ohio ,80.7 sq mi 
Broken Arrow , Oklahoma ,61.7 sq mi 
Norman , Oklahoma ,178.8 sq mi 
Oklahoma City , Oklahoma ,606.3 sq mi 
Tulsa , Oklahoma ,196.8 sq mi 
Bend , Oregon ,33.1 sq mi 
Eugene , Oregon ,44.1 sq mi 
Gresham , Oregon ,23.3 sq mi 
Hillsboro , Oregon ,25.0 sq mi 
Portland , Oregon ,133.5 sq mi 
Salem , Oregon ,48.6 sq mi 
Allentown , Pennsylvania ,17.5 sq mi 
Philadelphia[e] , Pennsylvania ,134.2 sq mi 
Pittsburgh , Pennsylvania ,55.4 sq mi 
Providence , Rhode Island ,18.4 sq mi 
Charleston , South Carolina ,109.0 sq mi 
Columbia , South Carolina ,133.5 sq mi 
North Charleston , South Carolina ,73.7 sq mi 
Sioux Falls , South Dakota ,75.4 sq mi 
Chattanooga , Tennessee ,143.1 sq mi 
Clarksville , Tennessee ,98.3 sq mi 
Knoxville , Tennessee ,98.5 sq mi 
Memphis , Tennessee ,317.4 sq mi 
Murfreesboro , Tennessee ,55.9 sq mi 
Nashville[k] , Tennessee ,475.9 sq mi 
Abilene , Texas ,106.7 sq mi 
Allen , Texas ,27.1 sq mi 
Amarillo , Texas ,101.4 sq mi 
Arlington , Texas ,95.8 sq mi 
Austin , Texas ,312.7 sq mi 
Beaumont , Texas ,82.1 sq mi 
Brownsville , Texas ,132.5 sq mi 
Carrollton , Texas ,36.3 sq mi 
College Station , Texas ,51.0 sq mi 
Corpus Christi , Texas ,174.6 sq mi 
Dallas , Texas ,340.9 sq mi 
Denton , Texas ,93.4 sq mi 
Edinburg , Texas ,37.6 sq mi 
El Paso , Texas ,256.8 sq mi 
Fort Worth , Texas ,342.9 sq mi 
Frisco , Texas ,67.7 sq mi 
Garland , Texas ,57.0 sq mi 
Grand Prairie , Texas ,72.3 sq mi 
Houston[3] , Texas ,637.5 sq mi 
Irving , Texas ,67.0 sq mi 
Killeen , Texas ,53.5 sq mi 
Laredo , Texas ,101.1 sq mi 
League City , Texas ,51.2 sq mi 
Lewisville , Texas ,36.7 sq mi 
Lubbock , Texas ,124.6 sq mi 
McAllen , Texas ,58.4 sq mi 
McKinney , Texas ,63.0 sq mi 
Mesquite , Texas ,47.2 sq mi 
Midland , Texas ,74.4 sq mi 
Odessa , Texas ,45.2 sq mi 
Pasadena , Texas ,43.5 sq mi 
Pearland , Texas ,46.3 sq mi 
Plano , Texas ,71.7 sq mi 
Richardson , Texas ,28.6 sq mi 
Round Rock , Texas ,35.6 sq mi 
San Angelo , Texas ,59.9 sq mi 
San Antonio , Texas ,461.0 sq mi 
Sugar Land , Texas ,34.0 sq mi 
Tyler , Texas ,56.6 sq mi 
Waco , Texas ,89.0 sq mi 
Wichita Falls , Texas ,72.2 sq mi 
Provo , Utah ,41.7 sq mi 
Salt Lake City , Utah ,111.2 sq mi 
West Jordan , Utah ,32.3 sq mi 
West Valley City , Utah ,35.5 sq mi 
Alexandria[m] , Virginia ,15.0 sq mi 
Chesapeake[m] , Virginia ,338.5 sq mi 
Hampton[m] , Virginia ,51.5 sq mi 
Newport News[m] , Virginia ,69.1 sq mi 
Norfolk[m] , Virginia ,53.3 sq mi 
Richmond[m] , Virginia ,59.8 sq mi 
Virginia Beach[m] , Virginia ,244.7 sq mi 
Bellevue , Washington ,33.5 sq mi 
Everett , Washington ,33.3 sq mi 
Kent , Washington ,33.7 sq mi 
Renton , Washington ,23.4 sq mi 
Seattle , Washington ,83.8 sq mi 
Spokane , Washington ,68.7 sq mi 
Spokane Valley , Washington ,37.7 sq mi 
Tacoma , Washington ,49.7 sq mi 
Vancouver , Washington ,46.9 sq mi 
Green Bay , Wisconsin ,45.4 sq mi 
Madison , Wisconsin ,77.0 sq mi 
