Rank,City,State,2020 Estimate
1,New York City[d] , New York ," 8,253,213.00 "
2,Los Angeles , California ," 3,970,219.00 "
3,Chicago , Illinois ," 2,677,643.00 "
4,Houston[3] , Texas ," 2,316,120.00 "
5,Phoenix , Arizona ," 1,708,127.00 "
6,Philadelphia[e] , Pennsylvania ," 1,578,487.00 "
7,San Antonio , Texas ," 1,567,118.00 "
8,San Diego , California ," 1,422,420.00 "
9,Dallas , Texas ," 1,343,266.00 "
10,San Jose , California ," 1,013,616.00 "
11,Austin , Texas ," 995,484.00 "
12,Fort Worth , Texas ," 927,720.00 "
13,Jacksonville[f] , Florida ," 920,570.00 "
14,Columbus , Ohio ," 903,852.00 "
15,Charlotte , North Carolina ," 900,350.00 "
16,Indianapolis[g] , Indiana ," 877,903.00 "
17,San Francisco[h] , California ," 866,606.00 "
18,Seattle , Washington ," 769,714.00 "
19,Denver[i] , Colorado ," 735,538.00 "
20,Washington[j] , District of Columbia ," 712,816.00 "
21,Boston , Massachusetts ," 691,531.00 "
22,El Paso , Texas ," 681,534.00 "
23,Nashville[k] , Tennessee ," 671,295.00 "
24,Detroit , Michigan ," 665,369.00 "
25,Las Vegas , Nevada ," 662,368.00 "
26,Oklahoma City , Oklahoma ," 662,314.00 "
27,Portland , Oregon ," 656,751.00 "
28,Memphis , Tennessee ," 649,705.00 "
29,Louisville[l] , Kentucky ," 618,338.00 "
30,Milwaukee , Wisconsin ," 589,067.00 "
31,Baltimore[m] , Maryland ," 586,131.00 "
32,Albuquerque , New Mexico ," 562,540.00 "
33,Tucson , Arizona ," 553,571.00 "
34,Fresno , California ," 530,267.00 "
35,Mesa , Arizona ," 528,159.00 "
36,Sacramento , California ," 512,838.00 "
37,Atlanta , Georgia ," 512,550.00 "
38,Kansas City , Missouri ," 497,159.00 "
39,Colorado Springs , Colorado ," 482,131.00 "
40,Omaha , Nebraska ," 478,393.00 "
41,Raleigh , North Carolina ," 474,414.00 "
42,Miami , Florida ," 471,525.00 "
43,Long Beach , California ," 454,681.00 "
44,Virginia Beach[m] , Virginia ," 451,231.00 "
45,Minneapolis , Minnesota ," 433,111.00 "
46,Oakland , California ," 424,891.00 "
47,Tampa , Florida ," 407,599.00 "
48,Tulsa , Oklahoma ," 403,166.00 "
49,Arlington , Texas ," 398,864.00 "
50,Wichita , Kansas ," 391,731.00 "
51,New Orleans[n] , Louisiana ," 389,476.00 "
52,Aurora , Colorado ," 387,377.00 "
53,Bakersfield , California ," 385,725.00 "
54,Cleveland , Ohio ," 378,589.00 "
55,Anaheim , California ," 353,676.00 "
56,Honolulu[b] , Hawaii ," 341,555.00 "
57,Santa Ana , California ," 331,301.00 "
58,Riverside , California ," 330,786.00 "
59,Henderson , Nevada ," 329,172.00 "
60,Corpus Christi , Texas ," 327,248.00 "
61,Lexington[o] , Kentucky ," 324,735.00 "
62,Stockton , California ," 312,716.00 "
63,Saint Paul , Minnesota ," 306,717.00 "
64,Cincinnati , Ohio ," 304,548.00 "
65,Pittsburgh , Pennsylvania ," 299,226.00 "
66,Greensboro , North Carolina ," 297,878.00 "
67,St. Louis[m] , Missouri ," 297,645.00 "
68,Plano , Texas ," 291,296.00 "
69,Lincoln , Nebraska ," 290,505.00 "
70,Orlando , Florida ," 289,457.00 "
71,Anchorage[p] , Alaska ," 287,095.00 "
72,Durham , North Carolina ," 285,897.00 "
73,Irvine , California ," 283,700.00 "
74,Newark , New Jersey ," 282,520.00 "
75,Chula Vista , California ," 272,979.00 "
76,Fort Wayne , Indiana ," 272,398.00 "
77,Toledo , Ohio ," 271,455.00 "
78,St. Petersburg , Florida ," 267,802.00 "
79,Chandler , Arizona ," 265,398.00 "
80,Laredo , Texas ," 263,640.00 "
81,Madison , Wisconsin ," 263,094.00 "
82,Jersey City , New Jersey ," 262,664.00 "
83,Scottsdale , Arizona ," 262,647.00 "
84,Lubbock , Texas ," 262,611.00 "
85,North Las Vegas , Nevada ," 260,098.00 "
86,Reno , Nevada ," 259,290.00 "
87,Gilbert[q] , Arizona ," 257,658.00 "
88,Glendale , Arizona ," 255,307.00 "
89,Buffalo , New York ," 254,479.00 "
90,Winston–Salem , North Carolina ," 248,112.00 "
